plot_number,Date,ID,mAqI,mAqE,mtqE,mAqM,mtqM,maxNPQ,Ta,VPD,Precip,Fsd,Ta_7day,VPD_7day,Precip_7day,Fsd_7day,Precip_cum,year,plot_number_year,Date_num
1,2021-06-24,NAM46,0.20612861366666668,2.5857281536666665,1.3965999999999998,1.2879285426666667,18.5669,4.08,-1.4860188742034255,-0.8204471491521361,2.758407472626819,-1.6792568913975372,-1.1407154046386219,0.6453434771163088,0.46952634849685665,-0.9225733171225189,-0.8163990379411903,2021,1_2021,-1.0278192041346077
1,2021-06-30,NAM46,0.32109137833333334,2.4533314193333333,0.87249,1.2689072356666666,18.054933333333334,4.043333333333333,-0.009634519913518819,-1.0459346628128385,0.513326868264983,-1.2521555732792384,0.6387272807550961,-1.01550813256878,2.9365606964572875,-1.5429794315635699,0.22723815089201369,2021,1_2021,-0.9956941038084497
1,2022-07-12,NAM26,0.28990554700000004,2.2950145835,1.4353,1.2855511865,25.916600000000003,3.87,0.0815566202665785,1.8894154051611827,-0.5431816514347046,1.645197184608082,0.7529157960053651,0.5534146037295963,0.12159289139050788,0.3472299634585683,-1.2118618423088867,2022,1_2022,1.0228330333518132
1,2021-07-13,NAM46,0.3060945233333333,2.011619401,1.4546666666666668,1.535687426,17.6321,3.8533333333333335,-0.6546301262777727,-0.7154608297827642,-0.5431816514347046,0.16374149473205005,-1.0686686066652171,-1.336770977990057,-0.522728325633863,-1.0956552677147309,0.8453336936288064,2021,1_2021,-0.9260897197684407
1,2022-07-19,NAM26,0.255299872,1.983389446,1.4833,1.501247815,29.1261,3.74,-9.816399923040428e-4,0.8135025976319359,-0.5431816514347046,1.3231995177707159,0.024833266342994726,-0.05020684827302448,-0.5442056995609819,-0.026933219362219613,-1.0587556069520667,2022,1_2022,1.060312317065664
1,2021-07-20,NAM46,0.3224918885,1.781536133,0.9976149999999999,1.7410988939999998,14.59445,3.8449999999999998,-0.3268387952909119,0.30510026218637826,-0.5431816514347046,0.39267761194914014,-0.7996184607684895,-1.03833880236649,-0.2528293268860443,-0.8228785876056652,1.098784917375684,2021,1_2021,-0.8886104360545897
1,2022-07-26,NAM26,0.4075932715,2.4369784584999996,1.0894,0.6723192185,15.9299,3.5168,-1.4769588017150492,-1.4894787450480875,-0.474508597654225,-1.7704218055511878,0.5881310689221091,0.31088031608610933,-0.9057414934418028,-0.7136157775996408,-1.030156052521485,2022,1_2022,1.0977916007795152
1,2021-07-28,NAM46,0.4422777626666667,1.9293514043333333,1.3598333333333334,1.0515535493333332,19.121833333333335,3.4233333333333333,0.5133046294761627,-0.35947373786358255,-0.5431816514347046,0.4475350652351061,1.2213633111432967,-0.052859089472616645,-0.48263722768918743,1.2097415995831737,1.2730942706724184,2021,1_2021,-0.8457769689530457
1,2022-07-06,NAM26,0.318796478,1.8387243880000002,1.6835499999999999,1.5409768545,12.3096,3.7,1.9816469000250903,2.020156780443473,-0.5431816514347046,0.342420627641271,1.9674059858753663,3.2449730817821134,-0.9644463154040351,1.7075997427866596,-1.5942576088764038,2022,1_2022,0.9907079330256551
1,2021-07-07,NAM46,0.167854994,2.7525060235,1.02735,1.299692479,22.14005,4.220000000000001,0.6410618068226287,0.2938168351811269,-0.36093393178650857,0.3562391579092268,-0.4410944994062643,0.30579305345886804,0.3893441526075056,1.825119740496843,0.701842825709854,2021,1_2021,-0.9582148200945987
1,2021-08-11,NAM46,0.41697713366666667,1.6363339933333334,1.7495666666666667,1.5221541473333333,20.694166666666668,3.5766666666666667,1.6430649244746727,0.5450399976644431,-0.5431816514347046,0.2273061631868581,0.6757188534826407,-0.5616504292858328,-0.7911954994269006,0.12801918598449086,1.4146127555271923,2021,1_2021,-0.7708184015253435
1,2022-08-20,NAM26,0.32556560700000003,2.3161753125,1.13469,1.428242784,16.71425,4.07,-1.1513052451431882,-0.6071912520719496,1.828679975291094,-0.34436689045554997,-1.8853749860972968,0.03248274425153715,-0.3143977987578387,0.1687617027022186,-0.13395449773558926,2022,1_2022,1.2316461854718403
2,2021-06-24,NAM42,0.24981321,2.487286070666667,1.2619333333333334,1.359170979,19.588033333333335,4.096666666666667,-1.4860188742034255,-0.8204471491521361,2.758407472626819,-1.6792568913975372,-1.1407154046386219,0.6453434771163088,0.46952634849685665,-0.9225733171225189,-0.8163990379411903,2021,2_2021,-1.0278192041346077
2,2021-06-30,NAM42,0.312839598,2.554018356,0.98516,1.223090765,17.0825,4.09,-0.009634519913518819,-1.0459346628128385,0.513326868264983,-1.2521555732792384,0.6387272807550961,-1.01550813256878,2.9365606964572875,-1.5429794315635699,0.22723815089201369,2021,2_2021,-0.9956941038084497
2,2022-07-12,NAM50,0.5261335673333334,2.4580294333333335,0.6979216666666667,1.1191483273333334,20.4861,4.1033333333333335,0.0815566202665785,1.8894154051611827,-0.5431816514347046,1.645197184608082,0.7529157960053651,0.5534146037295963,0.12159289139050788,0.3472299634585683,-1.2118618423088867,2022,2_2022,1.0228330333518132
2,2021-07-13,NAM42,0.3521033335,2.176032917,1.27985,1.5268600415,17.120350000000002,4.055,-0.6546301262777727,-0.7154608297827642,-0.5431816514347046,0.16374149473205005,-1.0686686066652171,-1.336770977990057,-0.522728325633863,-1.0956552677147309,0.8453336936288064,2021,2_2021,-0.9260897197684407
