Date,year,ID,plot_number,plot_number_year,mAqE,Precip_cum,Precip_7day,Ta_7day,Fsd_7day,Date_num
2021-06-24,2021,NAM46,1,1_2021,2.5857281536666665,-0.8163990379411903,0.46952634849685665,-1.140715404638622,-0.9225733171225188,-1.0278192041346077
2021-06-30,2021,NAM46,1,1_2021,2.4533314193333333,0.22723815089201369,2.9365606964572875,0.6387272807550961,-1.54297943156357,-0.9956941038084496
2022-07-12,2022,NAM26,1,1_2022,2.2950145835,-1.2118618423088867,0.12159289139050788,0.7529157960053651,0.3472299634585683,1.0228330333518132
2021-07-13,2021,NAM46,1,1_2021,2.011619401,0.8453336936288064,-0.522728325633863,-1.0686686066652171,-1.0956552677147309,-0.9260897197684408
2022-07-19,2022,NAM26,1,1_2022,1.983389446,-1.0587556069520667,-0.5442056995609819,0.02483326634299472,-0.02693321936221961,1.060312317065664
2021-07-20,2021,NAM46,1,1_2021,1.781536133,1.098784917375684,-0.2528293268860443,-0.7996184607684895,-0.8228785876056652,-0.8886104360545897
2022-07-26,2022,NAM26,1,1_2022,2.4369784584999996,-1.030156052521485,-0.9057414934418028,0.5881310689221091,-0.7136157775996408,1.0977916007795152
2021-07-28,2021,NAM46,1,1_2021,1.9293514043333333,1.2730942706724184,-0.48263722768918743,1.2213633111432969,1.2097415995831735,-0.8457769689530457
2022-07-06,2022,NAM26,1,1_2022,1.838724388,-1.5942576088764038,-0.9644463154040352,1.9674059858753663,1.7075997427866596,0.9907079330256552
2021-07-07,2021,NAM46,1,1_2021,2.7525060235,0.701842825709854,0.3893441526075056,-0.4410944994062643,1.825119740496843,-0.9582148200945988
2021-08-11,2021,NAM46,1,1_2021,1.6363339933333334,1.4146127555271923,-0.7911954994269006,0.6757188534826407,0.12801918598449086,-0.7708184015253435
2022-08-20,2022,NAM26,1,1_2022,2.3161753125,-0.13395449773558926,-0.3143977987578387,-1.8853749860972968,0.1687617027022186,1.2316461854718403
2021-06-24,2021,NAM42,2,2_2021,2.487286070666667,-0.8163990379411903,0.46952634849685665,-1.140715404638622,-0.9225733171225188,-1.0278192041346077
2021-06-30,2021,NAM42,2,2_2021,2.554018356,0.22723815089201369,2.9365606964572875,0.6387272807550961,-1.54297943156357,-0.9956941038084496
2022-07-12,2022,NAM50,2,2_2022,2.4580294333333335,-1.2118618423088867,0.12159289139050788,0.7529157960053651,0.3472299634585683,1.0228330333518132
2021-07-13,2021,NAM42,2,2_2021,2.176032917,0.8453336936288064,-0.522728325633863,-1.0686686066652171,-1.0956552677147309,-0.9260897197684408
2022-07-19,2022,NAM50,2,2_2022,1.8452598426666664,-1.0587556069520667,-0.5442056995609819,0.02483326634299472,-0.02693321936221961,1.060312317065664
2021-07-20,2021,NAM42,2,2_2021,2.139825850666667,1.098784917375684,-0.2528293268860443,-0.7996184607684895,-0.8228785876056652,-0.8886104360545897
2022-07-26,2022,NAM50,2,2_2022,2.2346048073333336,-1.030156052521485,-0.9057414934418028,0.5881310689221091,-0.7136157775996408,1.0977916007795152
2021-07-28,2021,NAM42,2,2_2021,1.886815644,1.2730942706724184,-0.48263722768918743,1.2213633111432969,1.2097415995831735,-0.8457769689530457
2022-07-06,2022,NAM50,2,2_2022,2.0559397505000003,-1.5942576088764038,-0.9644463154040352,1.9674059858753663,1.7075997427866596,0.9907079330256552
2021-07-07,2021,NAM42,2,2_2021,2.211347131,0.701842825709854,0.3893441526075056,-0.4410944994062643,1.825119740496843,-0.9582148200945988
2021-08-11,2021,NAM42,2,2_2021,1.9648602503333332,1.4146127555271923,-0.7911954994269006,0.6757188534826407,0.12801918598449086,-0.7708184015253435
2022-08-20,2022,NAM50,2,2_2022,1.915371009,-0.13395449773558926,-0.3143977987578387,-1.8853749860972968,0.1687617027022186,1.2316461854718403
2022-07-12,2022,NAM32,3,3_2022,2.309325796,-1.2118618423088867,0.12159289139050788,0.7529157960053651,0.3472299634585683,1.0228330333518132
2022-07-19,2022,NAM32,3,3_2022,1.992921608,-1.0587556069520667,-0.5442056995609819,0.02483326634299472,-0.02693321936221961,1.060312317065664
2022-07-26,2022,NAM32,3,3_2022,1.9740430123333337,-1.030156052521485,-0.9057414934418028,0.5881310689221091,-0.7136157775996408,1.0977916007795152
2022-07-06,2022,NAM32,3,3_2022,2.0593918925,-1.5942576088764038,-0.9644463154040352,1.9674059858753663,1.7075997427866596,0.9907079330256552
2022-08-20,2022,NAM32,3,3_2022,2.107579821333333,-0.13395449773558926,-0.3143977987578387,-1.8853749860972968,0.1687617027022186,1.2316461854718403
2022-08-04,2022,NAM32,3,3_2022,2.494105376333333,-0.43474291502274,0.7229593605606408,-0.4476227182455092,0.26074304398912485,1.1459792512687523
2021-06-24,2021,NAM37,4,4_2021,2.294359515333334,-0.8163990379411903,0.46952634849685665,-1.140715404638622,-0.9225733171225188,-1.0278192041346077
2021-06-30,2021,NAM37,4,4_2021,2.172916155333333,0.22723815089201369,2.9365606964572875,0.6387272807550961,-1.54297943156357,-0.9956941038084496
2022-07-12,2022,NAM5,4,4_2022,2.5229682694999997,-1.2118618423088867,0.12159289139050788,0.7529157960053651,0.3472299634585683,1.0228330333518132
2021-07-13,2021,NAM37,4,4_2021,1.5612422456666666,0.8453336936288064,-0.522728325633863,-1.0686686066652171,-1.0956552677147309,-0.9260897197684408
2022-07-19,2022,NAM5,4,4_2022,1.9972246205,-1.0587556069520667,-0.5442056995609819,0.02483326634299472,-0.02693321936221961,1.060312317065664
