pitcher,batter,events,launch_speed,launch_angle,spray_angle
459429,467055,out,88.4,28,-5.23740872414707
534910,592192,b2,100.9,7,44.332396239619
502188,502517,out,80,69,-68.7122973776165
542881,621438,out,103.7,20,-2.41827700442177
593958,572073,out,65.6,-14,-20.258461915532
605182,594953,b2,93.8,1,46.3239468443453
543101,467055,out,80,69,-3.73837013159925
467008,444379,out,98.1,2,38.2149018882192
460283,607208,b1,73.5,15,-40.1664919961238
458708,491676,out,85.2,-12,-26.7972276432657
592815,624428,out,86.3,39,-31.8527576247305
488768,571912,b1,92.7,16,25.1562004551313
605400,592743,out,44,26,-50.704473493459
607352,542340,b1,82.7,13,34.90058080438
677976,607333,out,90.9,9,29.6906690876066
612434,624585,out,79.4,-27,-27.2995722113328
570810,488726,b1,64.8,-79,-35.2482701508441
519455,605548,b1,105.7,7,3.17181261263827
450306,518692,out,53.2,-14,23.2802262687595
452657,519203,out,103.1,-29,-6.32659155796892
501381,455117,out,91.4,33,31.2455498452926
453172,572039,out,99,-4,24.32571348613
645261,607208,b1,35.5,-48,-5.46101082809126
453265,571875,b1,90.3,-17,2.42165330877154
542881,405395,out,76.2,75,4.2897156585816
460059,476704,out,82.9,-21,45.8965947113147
621389,645277,b1,102.9,13,-12.7245108042595
676596,545341,out,95.1,36,22.0364999769844
592717,545361,out,82.9,-21,-39.1132602355288
519076,537953,out,95.6,5,27.4025491615839
607473,462101,out,83.7,7,39.6621282893839
467100,408234,out,80.8,9,13.9122507854709
622253,543807,b1,88.8,11,-35.3587119178675
612672,607732,b1,98.5,9,3.19824886813162
663776,621566,out,101.6,-25,8.03536127642284
607352,456488,b2,106.5,10,-7.87294387311324
605347,572287,out,39.8,43,-5.36102996467164
456701,502054,out,83,63,60.9403622724579
446321,608070,out,78.7,48,41.5008990824948
661269,592885,out,79.3,39,3.8273248640049
622491,500208,out,95.3,4,29.671345963143
434671,518626,b1,94.6,15,16.1263844102019
656945,503556,out,91.1,10,38.1476385180661
430661,408314,out,63,16,-0.188472279129863
571927,476704,b1,76.1,20,4.79607326057179
