"id","site","year","Ax","Ly","flCt","capsuleCt","nCapsulesHarvested","ovuleCt","embryoCt","nn1Dist","nn2Dist","nn3Dist","nn4Dist","nn5Dist","nn6Dist","nn7Dist","nn8Dist","nn9Dist","nn10Dist","nn1DistNotConsumed","nn2DistNotConsumed","nn3DistNotConsumed","nn4DistNotConsumed","nn5DistNotConsumed","nn6DistNotConsumed","nn7DistNotConsumed","nn8DistNotConsumed","nn9DistNotConsumed","nn10DistNotConsumed","fecundity","flCtNotConsumed","flCtUndamaged"
"LP1000","beng",2021,690619.227,188864.058,1,0,NA,NA,NA,0.895075415792208,1.26426460832031,1.3717383132794,1.47362749702645,2.02766170746369,2.03933567613917,2.18814007777138,2.89720710345497,3.75912596227258,4.32495664720569,0.895075415792208,1.3717383132794,2.02766170746369,2.03933567613917,2.18814007777138,2.89720710345497,3.75912596227258,4.32495664720569,5.29123511101384,5.50475875946304,0,1,0
"LP1001","beng",2021,690618.56,188862.984,2,0,NA,NA,NA,0.476001050413975,1.26426460832031,1.30866229417473,1.75092718286142,1.92694706731956,2.17677123286099,2.32499569887305,2.82856076476319,3.79898854960496,3.92095460311923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP1002","beng",2021,690617.754,188864.015,1,0,NA,NA,NA,0.64363965072241,0.874945712582118,0.979425341755385,1.30866229417473,1.47362749702645,2.84536113704941,3.02048092197601,4.01682523900177,5.10169550254985,5.21446794989765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP1003","beng",2021,690617.21,188864.359,1,0,NA,NA,NA,0.440520147114229,0.64363965072241,1.6227760166068,1.92694706731956,2.03933567613917,3.39765801696355,3.65750201639184,4.66040566910881,5.69409246506066,5.77878066725758,0.440520147114229,1.6227760166068,2.03933567613917,3.39765801696355,3.65750201639184,4.66040566910881,5.77878066725758,5.84532804899692,6.00713950231672,6.87030748951965,0,1,1
"LP1004","beng",2021,690620.021,188862.019,1,0,NA,NA,NA,1.16339245323078,1.75092718286142,2.05136076784828,2.16240259897794,2.18814007777138,2.20421527990944,2.33001716735265,2.68825463827475,2.98750732217594,3.02048092197601,1.16339245323078,2.05136076784828,2.16240259897794,2.18814007777138,2.20421527990944,3.30558345833148,3.35599106080832,3.41068350921461,3.5919788418157,3.65054201457667,0,1,1
"LP1005","beng",2021,690621.18,188861.918,1,0,NA,NA,NA,1.16339245323078,1.58133266582841,2.25533013106033,2.26118309741861,2.36774935329855,2.66563313300567,2.82856076476319,2.87051371704018,2.89720710345497,2.91196600254324,1.16339245323078,1.58133266582841,2.26118309741861,2.66563313300567,2.87051371704018,2.89720710345497,2.91196600254324,3.03923098830867,3.35746005189075,3.61050245814067,0,1,1
"LP1006","beng",2021,690621.478,188860.365,3,0,NA,NA,NA,0.901271324277661,1.10856889723297,1.20849203551561,1.33767895997315,1.58133266582841,1.75115190663517,1.86060232182391,2.0590971322197,2.15772194686453,2.20421527990944,1.20849203551561,1.33767895997315,1.58133266582841,1.86060232182391,2.15772194686453,2.20421527990944,2.52579353866929,2.61005383085657,3.84018801624331,4.07397520856177,0,3,3
"LP1007","beng",2021,690622.34,188859.518,1,0,NA,NA,NA,0.933352023559655,1.20849203551561,1.23278911417614,1.25146194501733,1.31853024238788,1.49895563642467,1.63862686416835,1.80014277202967,2.06931534573025,2.66563313300567,0.933352023559655,1.20849203551561,1.23278911417614,1.31853024238788,1.63862686416835,2.66563313300567,3.0220337522562,3.41068350921461,3.84137019823333,4.67669210017815,0,1,1
"LP1008","beng",2021,690620.555,188859.751,1,0,NA,NA,NA,0.569874547581657,0.740618660338796,1.10856889723297,1.22530975673595,1.26921235414237,1.50625695022167,1.70394659535297,1.80014277202967,2.13076066225522,2.25533013106033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP1009","beng",2021,690621.545,188859.029,0,0,NA,NA,NA,0.693876790209163,0.710450561312911,0.728215627412207,0.92455448729125,0.933352023559655,1.22013277974785,1.22530975673595,1.33767895997315,1.7467226453915,2.14866702868115,0.710450561312911,0.92455448729125,0.933352023559655,1.33767895997315,1.7467226453915,2.14866702868115,2.91196600254324,3.35599106080832,4.76928306972961,5.16161651035936,0,0,0
