Date,year,ID,plot_number,plot_number_year,mtqM,Precip_cum,Precip_7day,Ta_7day,Fsd_7day,Date_num
2021-06-24,2021,NAM46,1,1_2021,18.5669,-0.8163990379411903,0.46952634849685665,-1.140715404638622,-0.9225733171225188,-1.0278192041346077
2021-06-30,2021,NAM46,1,1_2021,18.054933333333334,0.22723815089201369,2.9365606964572875,0.6387272807550961,-1.54297943156357,-0.9956941038084496
2022-07-12,2022,NAM26,1,1_2022,25.916600000000003,-1.2118618423088867,0.12159289139050788,0.7529157960053651,0.3472299634585683,1.0228330333518132
2021-07-13,2021,NAM46,1,1_2021,17.6321,0.8453336936288064,-0.522728325633863,-1.0686686066652171,-1.0956552677147309,-0.9260897197684408
2022-07-19,2022,NAM26,1,1_2022,29.1261,-1.0587556069520667,-0.5442056995609819,0.02483326634299472,-0.02693321936221961,1.060312317065664
2021-07-20,2021,NAM46,1,1_2021,14.59445,1.098784917375684,-0.2528293268860443,-0.7996184607684895,-0.8228785876056652,-0.8886104360545897
2022-07-26,2022,NAM26,1,1_2022,15.9299,-1.030156052521485,-0.9057414934418028,0.5881310689221091,-0.7136157775996408,1.0977916007795152
2021-07-28,2021,NAM46,1,1_2021,19.121833333333335,1.2730942706724184,-0.48263722768918743,1.2213633111432969,1.2097415995831735,-0.8457769689530457
2022-07-06,2022,NAM26,1,1_2022,12.3096,-1.5942576088764038,-0.9644463154040352,1.9674059858753663,1.7075997427866596,0.9907079330256552
2021-07-07,2021,NAM46,1,1_2021,22.14005,0.701842825709854,0.3893441526075056,-0.4410944994062643,1.825119740496843,-0.9582148200945988
2021-08-11,2021,NAM46,1,1_2021,20.694166666666668,1.4146127555271923,-0.7911954994269006,0.6757188534826407,0.12801918598449086,-0.7708184015253435
2022-08-20,2022,NAM26,1,1_2022,16.71425,-0.13395449773558926,-0.3143977987578387,-1.8853749860972968,0.1687617027022186,1.2316461854718403
2021-06-24,2021,NAM42,2,2_2021,19.588033333333335,-0.8163990379411903,0.46952634849685665,-1.140715404638622,-0.9225733171225188,-1.0278192041346077
2021-06-30,2021,NAM42,2,2_2021,17.0825,0.22723815089201369,2.9365606964572875,0.6387272807550961,-1.54297943156357,-0.9956941038084496
2022-07-12,2022,NAM50,2,2_2022,20.4861,-1.2118618423088867,0.12159289139050788,0.7529157960053651,0.3472299634585683,1.0228330333518132
2021-07-13,2021,NAM42,2,2_2021,17.120350000000002,0.8453336936288064,-0.522728325633863,-1.0686686066652171,-1.0956552677147309,-0.9260897197684408
2022-07-19,2022,NAM50,2,2_2022,21.362633333333335,-1.0587556069520667,-0.5442056995609819,0.02483326634299472,-0.02693321936221961,1.060312317065664
