"","ObjExam","Online","ACTMath","ACTMajor","ACT","Gender","International","F17","S18","S19","Fa19","FR","SO","JR"
"499",96.43,1,35.2,31.5,33,0,1,0,1,0,0,0,1,0
"500",76.38,1,25,25.5,26,1,0,0,1,0,0,0,0,0
"501",92.86,0,35,34.5,34,1,0,0,1,0,0,0,0,1
"502",91.67,1,36,31,27,0,0,0,1,0,0,0,0,0
"503",94.05,0,35.1,31,32.7,1,1,0,1,0,0,0,0,0
"504",83.33,0,28,30.5,26,0,0,0,1,0,0,0,1,0
"505",73.81,0,30,30.5,26,1,0,0,1,0,0,0,0,1
"506",88.1,1,34,33.5,30,0,1,0,1,0,0,0,0,0
"507",85.71,1,35.6,30.5,33.4,1,1,0,1,0,0,0,1,0
"508",94.05,0,35,31.5,29,0,1,0,1,0,0,0,0,1
"509",83.33,1,26,28.5,26,1,0,0,1,0,0,0,0,0
"510",82.14,0,34,28.5,30,0,0,0,1,0,0,0,0,1
"512",97.62,0,35,29.5,35,0,0,0,1,0,0,0,0,0
"513",95.24,1,35.2,26,33.2,0,1,0,1,0,0,1,0,0
"517",82.14,1,29,27.5,27,1,0,0,1,0,0,0,0,1
"518",96.43,1,35.5,30.5,34.3,1,1,0,1,0,0,0,0,0
"519",82.14,0,35.6,28.5,31.3,0,1,0,1,0,0,1,0,0
"520",78.57,0,30,26,28,0,0,0,1,0,0,0,1,0
"521",97.62,1,36,33.5,35,0,1,0,1,0,0,0,1,0
"522",75,0,28,27.5,28,0,0,0,1,0,0,0,0,1
"523",88.1,1,35.1,28.5,33.9,0,1,0,1,0,0,0,1,0
"525",95.24,1,36,31,32,1,1,0,1,0,0,1,0,0
"526",84.52,0,33,26,30,0,1,0,1,0,0,1,0,0
"528",95.24,0,35.6,33,33.8,0,1,0,1,0,0,1,0,0
"529",77.38,1,35,27,30,1,1,0,1,0,0,0,1,0
"531",80.95,1,27,29,28,0,0,0,1,0,0,0,0,1
"532",82.14,1,35,29,35,0,0,0,1,0,0,0,0,1
"533",86.9,1,34.3,30.5,33.2,0,1,0,1,0,0,0,1,0
"534",82.14,0,35,31.5,30,1,1,0,1,0,0,0,0,1
"535",97.62,1,35.6,33.5,32.8,0,1,0,1,0,0,0,0,1
"536",81.14,1,33,30.5,29,0,0,0,1,0,0,0,0,1
"538",91.67,0,31,28.5,32,1,0,0,1,0,0,0,1,0
"539",85.71,0,35,26,31,0,1,0,1,0,0,0,1,0
"540",92.86,1,23,28.5,22,1,0,0,1,0,0,0,1,0
"541",91.67,1,33,33.5,32,0,0,0,1,0,0,0,0,1
"543",80.95,0,33.4,31.5,30.6,1,1,0,1,0,0,1,0,0
"544",80.95,0,33,26,30,0,0,0,1,0,0,0,0,1
"545",79.76,1,27,26,27,0,0,0,1,0,0,0,0,1
"546",87.88,1,28,30.5,23,0,1,0,0,1,0,0,0,1
"547",77.23,0,31,29,32,1,0,0,0,1,0,0,1,0
"548",92.23,1,35.2,31,33,1,0,0,0,1,0,0,1,0
"549",73.28,0,18,31,16,0,0,0,0,1,0,0,0,1
"550",66.29,1,33.9,26,29.6,1,0,0,0,1,0,0,0,1
"551",84.95,0,32.9,32,32.7,0,0,0,0,1,0,0,1,0
"552",75.03,0,24,26,23,1,0,0,0,1,0,0,1,0
"554",67.01,1,29,26,25,1,0,0,0,1,0,1,0,0
"556",76.75,1,24,25.5,23,1,0,0,0,1,0,0,0,0
"557",93.31,1,33.3,34.5,32,1,1,0,0,1,0,0,0,1
"560",73.88,1,32.4,28.5,33,1,1,0,0,1,0,0,1,0
"561",96.71,0,35.2,26,32.7,1,1,0,0,1,0,1,0,0
"565",77.63,0,24,29.5,28,1,0,0,0,1,0,0,0,0
"567",86.02,1,30,26,29,0,0,0,0,1,0,0,1,0
"568",85.77,1,35.6,30.5,33.8,0,1,0,0,1,0,0,1,0
"569",79.72,0,26,26,25,1,0,0,0,1,0,1,0,0
"570",94.52,1,36,33.5,34,0,0,0,0,1,0,0,0,0
"571",71.99,1,30.7,28.5,31.2,0,0,0,0,1,0,0,1,0
"572",94.45,1,34.3,34.5,34.3,0,1,0,0,1,0,0,1,0
"573",97.62,1,35.6,31,32.1,1,1,0,0,1,0,0,1,0
"574",91.16,0,36,31.5,31,0,1,0,0,1,0,0,1,0
"577",93.22,1,35.2,29,33.8,0,0,0,0,1,0,0,1,0
"578",76.51,1,29,30.5,28,0,0,0,0,1,0,0,0,1
"579",88.5,1,32,32.5,31,0,0,0,0,1,0,0,0,1
"580",88.34,1,33.8,32.5,33.3,0,0,0,0,1,0,0,0,0
"581",70.43,1,30.6,28,28.1,0,1,0,0,1,0,0,0,0
"582",93.69,1,33,34.5,33,1,0,0,0,1,0,0,0,1
"583",78.95,0,30,30.5,32,0,0,0,0,1,0,0,1,0
"584",64.29,0,26.4,28.5,26.9,1,0,0,0,1,0,0,1,0
"586",88.23,1,34,28.5,33,1,0,0,0,1,0,0,0,0
"587",93.08,1,35.1,31.5,30.8,0,1,0,0,1,0,0,0,1
"588",92.81,1,35.6,26,31.8,1,1,0,0,1,0,1,0,0
"589",80.74,1,35.6,31.5,35.4,0,1,0,0,1,0,0,0,1
"591",94.55,0,32.2,32,32.8,0,1,0,0,1,0,0,0,0
"592",82.25,1,33.9,26,33,0,0,0,0,1,0,0,1,0
"593",71.19,1,26,28.5,26,1,0,0,0,1,0,0,0,1
"594",84.22,1,29,29,33,1,0,0,0,1,0,0,0,0
"595",76.45,1,36,30,32,0,0,0,0,1,0,0,0,0
"596",57.34,1,26,31,29,1,0,0,0,1,0,0,1,0
"597",83.07,1,34,34,32,0,1,0,0,1,0,0,1,0
"598",93.38,1,27,29.5,28,1,0,0,0,1,0,0,0,1
"599",80.56,0,35,33.5,30,0,1,0,0,1,0,0,0,1
"600",76.51,0,25.1,31,27.6,0,0,0,0,1,0,0,0,0
"601",83.56,1,34.3,31,33.5,0,1,0,0,1,0,0,0,1
"603",88.76,0,35.6,28.5,34.1,0,1,0,0,1,0,0,0,0
"604",90.96,1,35.6,33.5,34.7,0,0,0,0,1,0,0,0,0
"605",93.23,1,35.6,31.5,33,0,1,0,0,1,0,0,0,1
"606",83.61,1,27,28.5,26,1,0,0,0,1,0,0,1,0
"607",91.61,1,35.6,34.5,34.4,1,1,0,0,1,0,0,0,1
"608",59.03,0,26,26,26,0,0,0,0,1,0,0,1,0
"609",94.52,1,35,26,35,1,0,0,0,1,0,0,0,1
"610",78.42,1,34,32.5,33,1,1,0,0,1,0,0,0,1
"611",91.43,1,32,33.5,31,0,0,0,0,1,0,0,0,0
"612",93.4,1,36,34.5,33,0,0,0,0,1,0,0,0,1
"613",88.03,0,28,29.5,28,0,0,0,0,1,0,0,0,0
"614",94.02,1,32,31,33,0,0,0,0,1,0,0,0,1
"616",88.57,1,33.9,26,29.9,1,1,0,0,1,0,0,1,0
"617",71.63,0,33,33.5,32,0,0,0,0,1,0,0,1,0
"618",89.98,1,35,28.5,28,0,1,0,0,1,0,1,0,0
"619",74.88,1,24,25.5,25,1,0,0,0,1,0,0,0,0
"620",77.76,1,32,31.5,31,1,0,0,0,1,0,0,1,0
"625",90.97,1,35.6,26,31.5,1,1,0,0,1,0,1,0,0
"628",45.68,1,35,30.5,32,1,1,0,0,1,0,1,0,0
"629",80.94,1,32,31,33,1,0,0,0,1,0,0,1,0
"630",93.04,1,33,33.5,32,0,0,0,0,1,0,0,0,0
"633",85.02,0,30,30.5,32,0,0,0,0,1,0,0,0,1
"634",89.01,0,35.1,34.5,30.7,1,1,0,0,1,0,0,0,0
"635",95.03,1,34,33.5,26,1,0,0,0,1,0,0,1,0
"636",91.56,1,32.4,32.5,33.2,0,0,0,0,1,0,0,0,1
"637",60.18,1,26,28.5,23,1,0,0,0,1,0,0,0,0
"638",99.01,1,35,32.5,32,1,1,0,0,1,0,0,0,0
"639",97.8,1,36,31,31,1,0,0,0,1,0,0,0,0
"640",96.71,1,36,32.5,33,0,1,0,0,1,0,0,1,0
"641",92.07,1,35,33,33,0,0,0,0,1,0,0,0,0
"642",87.27,1,33.4,26,32.1,0,0,0,0,1,0,0,1,0
"643",77.11,1,33.9,29.5,32.1,1,1,0,0,1,0,0,1,0
"645",81.79,1,35,31.5,33,0,0,0,0,1,0,0,0,1
"646",83.92,1,32,32,32,1,0,0,0,1,0,0,1,0
"647",82.95,1,26,27.5,22,1,0,0,0,1,0,0,0,0
"648",87.23,1,26,30.5,23,0,0,0,0,1,0,0,1,0
"649",52.29,0,33,28.5,25,1,1,0,0,1,0,1,0,0
"650",86.22,0,32,34,33,1,0,0,0,1,0,0,0,1
"651",84.3,1,31,28.5,30,0,0,0,0,1,0,0,0,0
"652",77.49,1,34,30.5,31,0,0,0,0,1,0,0,0,0
"654",92.59,1,36,30.5,31,0,1,0,0,1,0,0,1,0
"655",82.91,1,27,28.5,28,1,0,0,0,1,0,0,1,0
"656",80.33,0,26,29,26,1,0,0,0,1,0,0,0,1
"658",88.23,1,35.5,33.5,33.5,0,0,0,0,1,0,0,0,1
"659",90.36,0,35.6,34.5,31.9,0,1,0,0,1,0,0,0,0
"660",79.39,1,29,32.5,23,0,0,0,0,1,0,0,0,1
"662",82.93,0,35.6,31.5,31.7,0,1,0,0,1,0,0,0,0
"664",66.61,1,25,28,27,1,0,0,0,1,0,0,1,0
"666",95.26,1,33.4,28.5,30.9,1,1,0,0,1,0,1,0,0
"668",91.08,1,35.2,33.5,32.7,0,1,0,0,1,0,0,1,0
"669",68.96,0,24,26,24,0,0,0,0,1,0,0,1,0
"670",76.08,0,25,31.5,30,0,0,0,0,1,0,1,0,0
"672",94.65,1,35.6,34.5,35.3,0,0,0,0,1,0,0,1,0
"673",89.29,0,35.6,27.5,31.2,1,1,0,0,1,0,0,0,1
"676",62.75,0,33,29.5,33,0,0,0,0,1,0,0,0,1
"678",83.29,1,32,28.5,28,0,0,0,0,1,0,1,0,0
"679",77.68,1,29,27.5,25,0,0,0,0,1,0,0,0,1
"680",83.12,1,32,29.5,34,0,0,0,0,1,0,0,0,0
"681",77.75,1,34,31.5,33,1,0,0,0,1,0,0,1,0
"682",76.24,0,33.8,29.5,32.1,0,1,0,0,1,0,0,0,0
"683",97.77,1,34.4,28.5,30.3,1,1,0,0,1,0,0,1,0
"684",89.29,1,30,31,22,0,0,0,0,1,0,0,0,0
"685",87.67,1,26,27.5,29,1,0,0,0,1,0,0,0,0
"686",81.01,1,35.6,34.5,35.3,0,1,0,0,1,0,0,0,0
"687",70.87,1,31.8,33.5,29.9,0,0,0,0,1,0,0,0,1
"688",89.42,1,34.7,31.5,33.1,0,1,0,0,1,0,0,0,1
"691",64.35,1,20,31.5,22,0,0,0,0,1,0,0,0,0
"692",91.11,0,26,28.5,28,1,0,0,0,1,0,0,0,1
"693",84.41,0,29,30.5,33,0,0,0,0,1,0,0,1,0
"695",90.22,1,24,30.5,23,0,0,0,0,1,0,0,0,1
"699",96.75,1,36,34.5,36,1,0,0,0,1,0,0,0,1
"700",78.4,1,31,30.5,31,0,0,0,0,1,0,0,0,0
"702",97.39,1,35,33.5,35,0,0,0,0,1,0,0,0,0
"704",75,1,26,28,28,1,0,0,0,1,0,0,0,1
"705",91.82,1,35.6,31.5,32.9,0,1,0,0,1,0,0,0,0
"706",95.99,0,35,26,31,1,1,0,0,1,0,0,1,0
"707",96.93,1,35.6,32.5,35.6,1,0,0,0,1,0,0,1,0
"709",76.1,1,31,27,30,1,0,0,0,1,0,1,0,0
"710",56.62,1,31,30.5,31,1,0,0,0,1,0,0,0,0
"711",80.79,1,26,26,28,0,0,0,0,1,0,0,1,0
"712",77.51,1,23,28,28,1,0,0,0,1,0,0,1,0
"714",68.73,1,24,30.5,22,1,0,0,0,1,0,0,0,0
"716",55.53,1,24,27.5,24,1,0,0,0,1,0,0,0,1
"718",86.7,0,28,29.5,28,1,0,0,0,1,0,0,0,0
"719",88.3,0,26,31.5,22,0,0,0,0,1,0,0,1,0
"721",77.03,1,27,27.5,24,1,0,0,0,1,0,0,0,1
"722",84.04,1,29.5,30.5,28.8,1,1,0,0,1,0,0,0,0
"723",97.92,1,35.6,34.5,34.2,0,1,0,0,1,0,0,0,0
"726",80.9,1,27.1,26,26.3,0,0,0,0,1,0,1,0,0
"728",84.19,1,35,30,31,1,1,0,0,1,0,0,0,1
"729",96.86,1,36,34.5,35,0,0,0,0,1,0,0,1,0
"731",77.11,1,34.4,31,31.5,1,1,0,0,1,0,0,0,1
"733",54.99,0,16,25.5,19,1,0,0,0,1,0,0,0,0
"734",94.52,1,36,29.5,33,1,1,0,0,1,0,0,1,0
"735",94.04,1,35,34.5,30,0,1,0,0,1,0,0,0,1
"736",69.59,0,30,26,26,0,0,0,0,1,0,0,0,1
"737",81.53,1,35.6,26,31.5,1,1,0,0,1,0,1,0,0
"738",78.04,1,28,29,28,0,0,0,0,1,0,0,1,0
"741",62.01,0,19,25.5,23,1,0,0,0,1,0,0,0,1
"743",64.66,1,27.1,27,25.7,1,0,0,0,1,0,1,0,0
"744",96.18,1,36,31.5,31,1,1,0,0,1,0,0,0,1
"745",95.58,1,35,31.5,29,0,1,0,0,1,0,0,1,0
"746",85.95,1,28,26,26,1,0,0,0,1,0,0,1,0
"748",91.18,1,36,33.5,35,0,0,0,0,1,0,0,0,0
"753",93.31,0,32.9,29.5,30.3,1,1,0,0,1,0,0,0,1
"754",59.57,0,22,28.5,21,1,0,0,0,1,0,0,1,0
"755",82.92,1,32,30.5,34,0,0,0,0,1,0,0,0,1
"756",87.43,1,35,29,31,1,0,0,0,1,0,0,1,0
"757",89.07,1,35.2,33.5,31.5,0,1,0,0,1,0,0,0,1
"758",63.36,1,31,26,28,0,0,0,0,1,0,0,1,0
"759",91.21,1,35,26,31,0,1,0,0,1,0,0,1,0
"762",69.32,1,26,34,25,0,0,0,0,1,0,0,0,1
"763",77.55,0,35,32.5,33,0,0,0,0,1,0,1,0,0
"764",97.64,1,33.4,31.5,29.9,0,0,0,0,1,0,0,0,1
"765",81.48,1,34,26,30,0,0,0,0,1,0,1,0,0
"766",81.05,0,34,30.5,32,1,0,0,0,1,0,0,0,0
"767",85.89,1,34,26,31,1,1,0,0,1,0,0,1,0
"768",97.39,1,36,34.5,35,0,0,0,0,1,0,0,0,1
"769",92.81,1,34.8,34,33.8,1,1,0,0,1,0,0,1,0
"770",79.68,0,33,29.5,32,0,0,0,0,1,0,0,1,0
"771",82,1,28.9,24.5,25.7,0,1,0,0,1,0,0,1,0
"772",96.82,1,35.6,34.5,34.4,0,1,0,0,1,0,0,0,0
"773",78.04,0,27,31,25,1,1,0,0,1,0,0,0,0
"774",86.98,1,27.1,31.5,27.5,0,1,0,0,1,0,0,1,0
"776",94.86,1,35,31.5,35,1,0,0,0,1,0,0,0,1
"777",86.83,1,23,29.5,26,0,0,0,0,1,0,0,0,0
"778",83.86,1,35.6,31.5,32.9,0,1,0,0,1,0,0,0,1
"779",84.35,1,34.3,26,31.3,0,1,0,0,1,0,0,1,0
"780",91.67,1,34.8,31,34.7,0,0,0,0,1,0,0,1,0
"781",85.53,1,34,32.5,35,0,0,0,0,1,0,0,1,0
"783",94.1,1,35.6,30.5,35.1,0,1,0,0,1,0,0,0,0
"787",94,0,35.2,30.5,35.3,0,0,0,0,1,0,0,1,0
"788",71.39,1,36,31.5,36,0,0,0,0,1,0,0,0,0
"789",87.33,1,34.4,28.5,31.2,1,1,0,0,1,0,1,0,0
"790",75.23,1,25,31.5,25,0,0,0,0,1,0,0,0,1
"793",91.1,0,36,31,33,0,0,0,0,1,0,0,0,0
"794",83.55,1,35.6,31,32,1,1,0,0,1,0,0,0,0
"796",92.35,1,34,26,33,0,0,0,0,1,0,0,1,0
"797",77.15,1,26.7,28.5,26.5,1,1,0,0,1,0,0,0,1
"799",81.04,1,29,26,29,0,0,0,0,1,0,0,1,0
"800",85.87,0,29,30.5,29,1,0,0,0,1,0,0,0,0
"801",82.11,1,31,34,33,1,0,0,0,1,0,0,0,1
"803",73.23,1,26,26.5,23,1,0,0,0,1,0,0,0,0
"804",91.74,1,36,31.5,33,0,0,0,0,1,0,0,0,1
"805",91.94,0,35.6,30.5,34.1,0,0,0,0,1,0,1,0,0
"807",88.22,1,36,33.5,35,0,0,0,0,1,0,0,0,0
"808",82.88,0,31,33.5,30,0,0,0,0,1,0,0,0,1
"809",88.81,1,35.6,31,33.2,1,1,0,0,1,0,0,0,0
"810",88.42,1,35,31,35,1,0,0,0,1,0,0,0,0
"811",94.17,1,35.6,31.5,33.5,1,1,0,0,1,0,0,1,0
"812",88.39,1,29,28.5,33,1,0,0,0,1,0,0,0,1
"813",98.35,0,35,31.5,32,1,1,0,0,0,1,0,0,0
"815",90.82,0,35.6,30.5,33.8,1,1,0,0,0,1,1,0,0
"816",39.19,1,19,29,22,1,0,0,0,0,1,0,0,1
"817",84.42,1,29,28,31,1,0,0,0,0,1,0,1,0
"818",92.45,1,32.9,28.5,30.9,1,0,0,0,0,1,0,0,1
"819",94.13,1,33,33.5,33,0,0,0,0,0,1,0,0,1
"820",85.23,0,33,33.5,35,0,0,0,0,0,1,0,0,0
"821",86.14,1,35.1,30.5,32.5,0,1,0,0,0,1,0,0,0
"822",61.79,1,23,25.5,25,1,0,0,0,0,1,0,0,0
"824",98.35,1,34,26,31,0,0,0,0,0,1,0,0,0
"826",98.87,1,29.5,33.5,29.6,1,0,0,0,0,1,0,0,1
"827",90.46,1,34.7,30.5,33.5,1,1,0,0,0,1,0,0,0
"830",98.94,1,33,30.5,27,1,1,0,0,0,1,0,0,1
"831",90.58,0,34.4,30.5,27.8,1,1,0,0,0,1,0,1,0
"833",87.79,0,31,26,31,1,0,0,0,0,1,0,1,0
"834",93.5,0,33.4,31.5,27.8,0,1,0,0,0,1,0,1,0
"835",92.83,0,34.8,31.5,30.6,1,1,0,0,0,1,1,0,0
"836",84.67,1,35.6,32.5,35.8,0,0,0,0,0,1,0,0,1
"837",67.38,0,35,33.5,33,0,0,0,0,0,1,0,1,0
"838",91.43,1,36,33.5,34,0,0,0,0,0,1,0,0,1
"839",78.18,0,24,27.5,25,1,0,0,0,0,1,0,1,0
"841",97.29,0,34.4,31.5,34.1,0,0,0,0,0,1,0,1,0
"843",73.05,1,33.9,31,33,0,1,0,0,0,1,0,1,0
"844",90.84,0,32.4,30.5,33.5,1,0,0,0,0,1,0,1,0
"845",83.46,1,26,28.5,29,1,0,0,0,0,1,0,0,0
"846",94.61,1,35.2,28,33,1,1,0,0,0,1,0,1,0
"848",96.63,1,35.6,31.5,33.4,1,1,0,0,0,1,0,0,0
"849",94.03,0,30.1,30.5,29.6,1,1,0,0,0,1,0,0,1
"850",81.81,1,29,31,28,0,0,0,0,0,1,0,1,0
"851",77.8,0,30,31.5,29,1,0,0,0,0,1,1,0,0
"853",75.51,1,33,31,29,0,0,0,0,0,1,0,1,0
"856",91.78,1,36,31.5,32,1,0,0,0,0,1,0,0,0
"857",85.09,0,34.8,26,30.6,0,1,0,0,0,1,0,1,0
"858",97.16,1,31,32,34,1,0,0,0,0,1,0,0,1
"860",90.92,0,34.8,30.5,33,1,1,0,0,0,1,0,1,0
"862",63.87,1,26,29,27,1,0,0,0,0,1,0,1,0
"864",88.93,1,35.2,33.5,31.5,0,1,0,0,0,1,0,0,1
"865",91.94,1,27,26,29,1,0,0,0,0,1,0,1,0
"866",83.1,1,28,30.5,29,0,0,0,0,0,1,0,0,1
"867",92.7,1,35.6,31,32.7,1,1,0,0,0,1,0,1,0
"868",97.75,1,35.2,31.5,31.8,1,1,0,0,0,1,0,0,1
"870",88.22,1,33.8,26,28.6,0,1,0,0,0,1,0,0,1
"871",91.12,1,34,33.5,26,1,0,0,0,0,1,0,0,1
"872",92.77,1,32.4,26,30.3,1,1,0,0,0,1,0,1,0
"874",86.4,0,30,26,28,0,0,0,0,0,1,1,0,0
"876",97.68,0,36,30.5,29,1,1,0,0,0,1,0,1,0
"878",90.8,1,32,32,28,0,0,0,0,0,1,0,0,1
"881",84,0,35.2,31.5,32.1,0,1,0,0,0,1,0,1,0
"882",99.4,0,34,32.5,33,0,1,0,0,0,1,0,1,0
"884",90.43,0,35.6,31.5,32.4,0,1,0,0,0,1,1,0,0
"885",84.33,0,27,32,29,0,0,0,0,0,1,0,0,1
"886",86.13,0,28,34,27,0,0,0,0,0,1,0,0,0
"887",65.94,0,23,26,22,0,0,0,0,0,1,1,0,0
"888",84.5,1,34.3,30.5,33,1,1,0,0,0,1,0,0,1
"889",89.38,0,35.6,28.5,34.7,1,0,0,0,0,1,1,0,0
"890",94.57,1,29.5,28.5,28.7,1,0,0,0,0,1,0,1,0
"891",83.03,0,29,30.5,27,0,0,0,0,0,1,0,1,0
"892",89.21,1,33,26,31,1,1,0,0,0,1,0,1,0
"893",75.19,1,27,28.5,30,1,0,0,0,0,1,0,0,0
"896",86.42,1,33.9,33.5,31.5,1,1,0,0,0,1,0,0,1
"897",76.52,0,33,31.5,31,0,0,0,0,0,1,1,0,0
"898",82.36,1,35.6,32,33.5,0,1,0,0,0,1,0,0,1
"899",91.77,1,35.6,33.5,34.1,0,1,0,0,0,1,0,0,0
"900",93.63,0,33,26,33,0,0,0,0,0,1,0,1,0
"901",84.96,0,33,31.5,27,0,0,0,0,0,1,1,0,0
"902",94.67,0,36,31.5,31,0,1,0,0,0,1,0,0,1
"903",93.3,0,35.2,26,32.1,0,1,0,0,0,1,0,1,0
"904",84.78,1,35.6,27.5,31.9,0,0,0,0,0,1,0,0,1
"905",85.97,0,34.4,31,29.6,0,0,0,0,0,1,1,0,0
"906",96.69,0,35,32.5,34,0,0,0,0,0,1,0,0,0
"907",93.88,1,35,33.5,34,0,0,0,0,0,1,0,0,1
"909",95.7,0,33.4,31,31.5,1,0,0,0,0,1,1,0,0
"910",79.9,0,34,30.5,35,0,0,0,0,0,1,0,0,1
"911",77.69,0,32.4,30.5,28.4,0,1,0,0,0,1,0,1,0
"912",97.74,0,35.6,30.5,31.8,1,1,0,0,0,1,1,0,0
"915",98.41,1,35,34,35,0,0,0,0,0,1,0,1,0
"916",78.29,0,32.4,29.5,30.9,0,0,0,0,0,1,1,0,0
"917",81.84,1,32,26,25,0,0,0,0,0,1,1,0,0
"920",96.69,0,29,31.5,28,0,0,0,0,0,1,1,0,0
"921",81.13,1,26,29.5,29,1,0,0,0,0,1,0,0,0
"922",81.14,0,35.5,31.5,33.4,0,1,0,0,0,1,0,0,0
"923",94.35,1,35.5,30.5,34.4,1,0,0,0,0,1,0,0,0
"924",64.31,1,21.2,26,20,0,0,0,0,0,1,0,1,0
"927",98.35,1,35.5,31.5,34.6,0,1,0,0,0,1,0,0,0
"929",88.09,1,35,31.5,32,1,0,0,0,0,1,0,0,1
"930",91.34,0,35.2,28.5,32.4,1,1,0,0,0,1,0,1,0
"931",73.73,1,26,26,23,0,0,0,0,0,1,0,1,0
"933",90.31,1,35,33.5,32,0,0,0,0,0,1,0,0,0
"934",87.55,0,33.9,31,31.8,0,0,0,0,0,1,0,1,0
"935",82.18,1,33.9,26,29,1,1,0,0,0,1,0,1,0
"936",88.08,0,35.6,31.5,31.2,1,1,0,0,0,1,1,0,0
"937",91.96,1,34.4,33.5,33.2,0,0,0,0,0,1,0,0,1
"938",94.56,0,35.2,27.5,31.8,0,1,0,0,0,1,0,0,1
"940",86.15,0,35.2,31.5,32.1,1,0,0,0,0,1,0,1,0
"941",93.91,0,36,33.5,32,0,1,0,0,0,1,0,0,0
"942",96.81,1,35.5,33,35.7,0,1,0,0,0,1,0,0,0
"943",83.64,0,30,28,29,1,0,0,0,0,1,0,1,0
"944",93.24,0,35.2,33.5,32.4,0,0,0,0,0,1,0,1,0
"946",54.91,0,34,26,32,0,0,0,0,0,1,0,0,1
"947",85.61,1,33.9,30.5,31.8,0,0,0,0,0,1,0,0,1
"950",76.55,1,31.8,33.5,29.9,0,0,0,0,0,1,0,0,1
"951",95.22,1,35.6,28.5,32.7,1,1,0,0,0,1,0,0,1
"952",85.89,1,28,30.5,28,0,0,0,0,0,1,0,0,0
"953",85.37,0,35.6,26,29.9,1,1,0,0,0,1,1,0,0
"954",91.99,0,35.6,32,30.9,0,1,0,0,0,1,0,0,0
"956",92.67,0,35.6,29.5,32.1,0,1,0,0,0,1,1,0,0
"959",84.05,1,30,26,31,0,0,0,0,0,1,0,1,0
"960",88.87,0,32.9,26,29.3,1,1,0,0,0,1,0,1,0
"961",88.8,1,33.3,31.5,30.5,0,1,0,0,0,1,0,1,0
"962",59.4,0,35.6,28.5,32.9,0,1,0,0,0,1,0,1,0
"964",94.05,1,35,27.5,35,0,0,0,0,0,1,0,0,1
"965",95.1,1,33.4,31,31.8,0,0,0,0,0,1,0,1,0
"967",84.9,0,25,28.5,29,1,0,0,0,0,1,0,1,0
"968",80.46,0,32.4,30.5,26.9,0,1,0,0,0,1,0,0,1
"969",57.89,1,30,26,28,1,0,0,0,0,1,0,1,0
"970",95.03,0,35,31,35,0,0,0,0,0,1,0,0,0
"971",87.97,1,31,26,31,0,0,0,0,0,1,0,0,1
"972",97.75,0,36,34.5,35,0,0,0,0,0,1,0,1,0
"973",57.62,0,30,26,29,0,0,0,0,0,1,0,1,0
"975",95.49,1,34.8,33.5,31.2,0,1,0,0,0,1,0,0,0
"976",48.85,1,17,25.5,23,1,0,0,0,0,1,0,0,1
"977",77.04,1,36,26,34,0,0,0,0,0,1,0,0,1
"979",79.82,0,27,30.5,29,1,0,0,0,0,1,0,0,1
"980",89.33,1,34.4,30.5,31.8,1,1,0,0,0,1,1,0,0
"981",78.54,1,26,25.5,26,1,0,0,0,0,1,0,0,0
"982",90.24,0,35,28.5,32,0,0,0,0,0,1,1,0,0
"983",97.2,1,35.6,34.5,33.5,0,1,0,0,0,1,0,0,0
"985",88.85,1,28,31,26,0,0,0,0,0,1,0,0,1
"986",53.39,1,19.2,26,21.2,1,0,0,0,0,1,1,0,0
"987",75.18,0,32,29.5,27,0,0,0,0,0,1,0,1,0
"988",81.28,0,35.6,27.5,32.4,1,1,0,0,0,1,0,1,0
"989",97.16,1,35,34,34,0,0,0,0,0,1,0,0,1
"990",93.78,0,36,31,30,1,1,0,0,0,1,0,1,0
"991",78.83,0,34.4,26,29.6,1,1,0,0,0,1,1,0,0
"993",75.02,1,24,29.5,23,1,0,0,0,0,1,0,1,0
"995",89.73,0,35,27.5,31,0,1,0,0,0,1,0,1,0
"997",81.56,1,33.9,31,32.4,0,0,0,0,0,1,0,1,0
"998",88.65,1,35.6,32,33.8,0,1,0,0,0,1,1,0,0
"999",81.89,1,33.8,30.5,31.8,1,1,0,0,0,1,0,0,1
"1000",87.61,1,36,33.5,30,0,1,0,0,0,1,0,0,0
"1002",94.91,1,35.6,28,33.2,1,1,0,0,0,1,0,0,0
"1003",90.18,0,35.2,26,32.7,1,1,0,0,0,1,0,1,0
"1005",79.57,0,35.6,31.5,32.4,0,0,0,0,0,1,0,1,0
"1008",96.16,1,34.4,28,31.8,0,1,0,0,0,1,0,1,0
"1009",79.87,1,32,34.5,31,0,0,0,0,0,1,0,0,1
"1010",94.95,1,32,31,30,1,1,0,0,0,1,0,0,0
"1012",93.95,0,35.2,31,31.5,1,1,0,0,0,1,0,1,0
"1013",99.47,1,34,33.5,34,1,0,0,0,0,1,0,0,0
"1015",95.67,1,35.6,32,35.1,0,1,0,0,0,1,0,0,0
"1017",89.2,0,31,31,31,1,0,0,0,0,1,0,1,0
"1018",85.74,0,32.9,26,31.8,0,1,0,0,0,1,0,1,0
"1019",50,0,21,25.5,21,1,0,0,0,0,1,1,0,0
"1021",90.04,1,28,26,27,0,0,0,0,0,1,0,1,0
"1022",86.74,0,32,29.5,32,0,0,0,0,0,1,0,0,0
"1023",93.47,0,35,26,29,0,1,0,0,0,1,0,1,0
"1024",75.31,0,27,30.5,27,0,0,0,0,0,1,0,1,0
